location,date,cases,data_field,
Argentina-Buenos_Aires,2016-06-18,2,cumulative_confirmed_imported_cases,
Argentina-Buenos_Aires,2016-06-18,1,cumulative_probable_imported_cases,
Argentina-Buenos_Aires,2016-06-18,220,cumulative_cases_under_study,
Argentina-Buenos_Aires,2016-06-18,23,cumulative_cases_discarded,
Argentina-Buenos_Aires,2016-06-26,0,cumulative_confirmed_local_cases,
Argentina-Buenos_Aires,2016-06-26,0,cumulative_probable_local_cases,
Argentina-Buenos_Aires,2016-06-26,2,cumulative_confirmed_imported_cases,
Argentina-Buenos_Aires,2016-06-26,2,cumulative_probable_imported_cases,
Argentina-Buenos_Aires,2016-06-26,223,cumulative_cases_under_study,
Argentina-Buenos_Aires,2016-06-26,25,cumulative_cases_discarded,
